Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
katyperry,KATY PERRY,8844,108647479,203,6022
justinbieber,Justin Bieber,30628,105419907,316257,3445
BarackObama,Barack Obama,15497,100367728,624484,10
Taylorswift13,Taylor Swift,84,85601237,0,126
rihanna,Rihanna,10069,86286546,1123,1023
youtube,YouTube,21995,71165037,1034,1993
theellenshow,Ellen DeGeneres,16190,76949466,35917,834
ladygaga,Lady Gaga,8695,77250968,127936,1870
twitter,Twitter,6585,62398849,145,5507
jtimberlake,Justin Timberlake,3863,65325306,262,67
britneyspears,Britney Spears,5399,56943161,388009,2570
cristiano,Cristiano Ronaldo,3122,69853769,95,0
kimkardashian,Kim Kardashian West,25977,58901359,132,11
selenagomez,Selena Gomez,4339,56220313,1257,167
cnnbrk,CNN Breaking News,60165,54208923,121,18
jimmyfallon,jimmy fallon,10484,50548224,7800,70
arianagrande,Ariana Grande,40414,56957758,64705,32524
shakira,Shakira,5315,51153837,209,1239
ddlovato,Demi Lovato,16722,55000728,550,2012
jlo,Jennifer Lopez,12417,44952309,1732,6599
instagram,Instagram,11542,39187239,4,161
oprah,Oprah Winfrey,12389,41651219,290,149
drake,Drizzy,1718,36670808,633,11
kingjames,LeBron James,5747,40799603,180,113
nytimes,The New York Times,311058,41233917,882,16344
billgates,Bill Gates,2598,44339994,183,40
cnn,CNN,171740,39537136,1115,1467
kevinhart4real,Kevin Hart,35898,35075656,554,85
mileycyrus,Miley Ray Cyrus,9335,39632918,385,273
onedirection,One Direction,9897,31838169,3895,301
sportscenter,SportsCenter,102031,35495038,1661,1158
espn,ESPN,94606,33971714,281,100
bbcbreaking,BBC Breaking News,33981,37121479,3,0
harry_styles,Harry Styles.,5407,31756689,2038,80
pink,P!nk,6832,32686276,448,420
liltunechi,Lil Wayne WEEZY F,1821,33577243,48,13
wizkhalifa,Wiz Khalifa,43829,33072605,835,52
niallofficial,Niall Horan,12488,38953018,5964,392
brunomars,Bruno Mars,4225,41141541,109,236
adele,Adele,302,28980696,157,0
narendramodi,Narendra Modi,18334,40620513,1873,0
neymarjr,Neymar Jr,41156,38189927,746,813
kaka,Kaka,4925,30112968,355,95
actuallynph,Neil Patrick Harris,2841,27624626,125,184
realdonaldtrump,Donald J. Trump,37022,48317107,45,24
danieltosh,daniel tosh,13676,27363500,132,2
srbachchan,Amitabh Bachchan,61714,33281160,1738,62
aliciakeys,Alicia Keys,7379,30585408,690,227
nba,NBA,190819,27348669,1679,273
