Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
katyperry,KATY PERRY,7831,96238853,203,4266
justinbieber,Justin Bieber,30652,92199865,302323,3416
BarackObama,Barack Obama,15439,85539136,631000,10
Taylorswift13,Taylor Swift,4161,83656407,244,2103
rihanna,Rihanna,9903,70053752,1134,989
youtube,YouTube,19105,67014029,997,1590
theellenshow,Ellen DeGeneres,13856,65989673,36157,405
ladygaga,"xoxo, Joanne",8278,65520669,129794,1415
twitter,Twitter,4238,60316262,161,3817
jtimberlake,Justin Timberlake,3588,58258231,233,40
britneyspears,Britney Spears,5120,51215807,392264,2359
cristiano,Cristiano Ronaldo,2821,50431818,95,0
kimkardashian,Kim Kardashian West,22693,50360368,108,0
selenagomez,Selena Gomez,4200,46431597,1273,135
cnnbrk,CNN Breaking News,54187,46473272,122,18
jimmyfallon,jimmy fallon,9600,44983585,7451,24
arianagrande,Ariana Grande,39958,44309620,66144,31951
shakira,Shakira,4530,43360844,193,515
ddlovato,Demi Lovato,15601,41407223,463,1123
jlo,Jennifer Lopez,10424,40256949,1735,6363
instagram,Instagram,10354,39977380,4,124
oprah,Oprah Winfrey,11904,35889928,277,147
drake,Drizzy,1711,34511012,637,12
kingjames,LeBron James,5281,34406670,166,76
nytimes,The New York Times,269410,34246379,909,14303
billgates,Bill Gates,2285,33709540,183,18
cnn,CNN,121244,32402916,1120,1459
kevinhart4real,Kevin Hart,32399,32095074,547,51
mileycyrus,Miley Ray Cyrus,8453,31903203,373,82
onedirection,One Direction,9926,31621743,3963,308
sportscenter,SportsCenter,92336,31336221,1676,1145
espn,ESPN,85792,30749227,301,88
bcbreaking,BBCbreaking,0,3,4,0
harry_styles,Harry Styles.,5345,29786366,2018,33
pink,P!nk,6221,29266509,428,350
liltunechi,Lil Wayne WEEZY F,1598,29257074,44,12
wizkhalifa,Wiz Khalifa,42951,28901933,800,43
nialloficial,Niall Horan,0,31535,1,0
brunomars,Bruno Mars,3781,28227839,112,91
adele,Adele,286,27840897,157,0
narendramodi,Narendra Modi,14280,27725375,1639,0
neymarjr,Neymar Jr,40904,27540809,747,778
kanyewest,KANYE WEST,991,27157792,1,1
kaka,Kaka,4642,26307141,354,26
actuallynph,Neil Patrick Harris,2649,26230217,90,177
realdonaldtrump,Donald J. Trump,34586,26252615,43,46
danieltosh,daniel tosh,13310,25720757,130,1
srbachchan,Amitabh Bachchan,55995,25348106,1141,56
aliciakeys,Alicia Keys,6973,25211518,671,177
nba,NBA,159488,24451992,1602,245
